,month,bm,mkt,smb,vmg,alpha,beta_mkt,beta_smb,beta_vmg,r_squared,r_squared_adj,t_alpha
9,2007-10,"[0.1776344488372093, 0.1852912947368421, 0.1142548638297872, 0.2251005625, 0.0123151085990338, -0.1952200270833333, 0.1669741653061224, 0.0589766416666666, 0.0524665571428571, -0.1102579395833333]","[0.2219137720547522, 0.043868305325419, 0.1302286637081754, 0.2405890256783758, 0.1139594337184726, -0.0353115598173471, 0.1823736411573241, 0.1609975498515372, 0.0578199713259702, 0.0658560637404339]","[0.0493905615688555, 0.1281286913970553, 0.0446424739128909, 0.011893436347169, -0.0615319063412964, -0.0965569802118341, 0.0240867324311673, -0.0789383143063234, -0.0624350072120309, -0.2146773894999262]","[-0.1808211055251784, -0.0665689945280232, -0.0545882729225307, -0.1685490860446487, -0.0963264267588038, 0.007301450020825, -0.050202939072871, -0.0346304331494449, -0.0507129250317053, 0.0597651764198719]",-0.004802912342698033,0.9380190389103518,0.9479100371415847,0.20585643988949798,0.9067714629015001,0.8601571943522501,-0.15008652672558587
10,2007-11,"[0.1852912947368421, 0.1142548638297872, 0.2251005625, 0.0123151085990338, -0.1952200270833333, 0.1669741653061224, 0.0589766416666666, 0.0524665571428571, -0.1102579395833333, -0.0542016387755102]","[0.043868305325419, 0.1302286637081754, 0.2405890256783758, 0.1139594337184726, -0.0353115598173471, 0.1823736411573241, 0.1609975498515372, 0.0578199713259702, 0.0658560637404339, -0.1242880976844932]","[0.1281286913970553, 0.0446424739128909, 0.011893436347169, -0.0615319063412964, -0.0965569802118341, 0.0240867324311673, -0.0789383143063234, -0.0624350072120309, -0.2146773894999262, 0.0727219005474608]","[-0.0665689945280232, -0.0545882729225307, -0.1685490860446487, -0.0963264267588038, 0.007301450020825, -0.050202939072871, -0.0346304331494449, -0.0507129250317053, 0.0597651764198719, -0.0185473967748772]",-0.008926434254532944,0.9195511451531522,0.9191223930771795,0.021175920384439162,0.918205397593089,0.8773080963896334,-0.39161407850786156
11,2007-12,"[0.1142548638297872, 0.2251005625, 0.0123151085990338, -0.1952200270833333, 0.1669741653061224, 0.0589766416666666, 0.0524665571428571, -0.1102579395833333, -0.0542016387755102, 0.1129831142857142]","[0.1302286637081754, 0.2405890256783758, 0.1139594337184726, -0.0353115598173471, 0.1823736411573241, 0.1609975498515372, 0.0578199713259702, 0.0658560637404339, -0.1242880976844932, 0.1411278882370532]","[0.0446424739128909, 0.011893436347169, -0.0615319063412964, -0.0965569802118341, 0.0240867324311673, -0.0789383143063234, -0.0624350072120309, -0.2146773894999262, 0.0727219005474608, 0.0545039773543203]","[-0.0545882729225307, -0.1685490860446487, -0.0963264267588038, 0.007301450020825, -0.050202939072871, -0.0346304331494449, -0.0507129250317053, 0.0597651764198719, -0.0185473967748772, -0.0981970400556824]",-0.026170619076888106,0.8872390302666417,0.7288861465808323,-0.07973657405959801,0.9156879738287778,0.8735319607431666,-1.0640596344711293
12,2008-01,"[0.2251005625, 0.0123151085990338, -0.1952200270833333, 0.1669741653061224, 0.0589766416666666, 0.0524665571428571, -0.1102579395833333, -0.0542016387755102, 0.1129831142857142, -0.090234078]","[0.2405890256783758, 0.1139594337184726, -0.0353115598173471, 0.1823736411573241, 0.1609975498515372, 0.0578199713259702, 0.0658560637404339, -0.1242880976844932, 0.1411278882370532, -0.1197281669171775]","[0.011893436347169, -0.0615319063412964, -0.0965569802118341, 0.0240867324311673, -0.0789383143063234, -0.0624350072120309, -0.2146773894999262, 0.0727219005474608, 0.0545039773543203, 0.0660841147781617]","[-0.1685490860446487, -0.0963264267588038, 0.007301450020825, -0.050202939072871, -0.0346304331494449, -0.0507129250317053, 0.0597651764198719, -0.0185473967748772, -0.0981970400556824, -0.0771937390458531]",-0.023452732781033814,0.9334037156448187,0.7729293075539776,0.008128037809541189,0.9202040584488616,0.8803060876732923,-0.886615518664155
13,2008-02,"[0.0123151085990338, -0.1952200270833333, 0.1669741653061224, 0.0589766416666666, 0.0524665571428571, -0.1102579395833333, -0.0542016387755102, 0.1129831142857142, -0.090234078, 0.0480473359999999]","[0.1139594337184726, -0.0353115598173471, 0.1823736411573241, 0.1609975498515372, 0.0578199713259702, 0.0658560637404339, -0.1242880976844932, 0.1411278882370532, -0.1197281669171775, 0.018941133016873]","[-0.0615319063412964, -0.0965569802118341, 0.0240867324311673, -0.0789383143063234, -0.0624350072120309, -0.2146773894999262, 0.0727219005474608, 0.0545039773543203, 0.0660841147781617, 0.0664787139235959]","[-0.0963264267588038, 0.007301450020825, -0.050202939072871, -0.0346304331494449, -0.0507129250317053, 0.0597651764198719, -0.0185473967748772, -0.0981970400556824, -0.0771937390458531, -0.0286748418689444]",-0.01788255914458172,0.9273502235774667,0.813095382345635,0.15564648378705653,0.892996194961514,0.8394942924422709,-0.7622035558422974
14,2008-03,"[-0.1952200270833333, 0.1669741653061224, 0.0589766416666666, 0.0524665571428571, -0.1102579395833333, -0.0542016387755102, 0.1129831142857142, -0.090234078, 0.0480473359999999, -0.1801121333333333]","[-0.0353115598173471, 0.1823736411573241, 0.1609975498515372, 0.0578199713259702, 0.0658560637404339, -0.1242880976844932, 0.1411278882370532, -0.1197281669171775, 0.018941133016873, -0.1303370661245816]","[-0.0965569802118341, 0.0240867324311673, -0.0789383143063234, -0.0624350072120309, -0.2146773894999262, 0.0727219005474608, 0.0545039773543203, 0.0660841147781617, 0.0664787139235959, -0.0432221496595171]","[0.007301450020825, -0.050202939072871, -0.0346304331494449, -0.0507129250317053, 0.0597651764198719, -0.0185473967748772, -0.0981970400556824, -0.0771937390458531, -0.0286748418689444, -0.0045735084241748]",-0.022204990866721886,0.9234900930044829,0.7623881703087649,0.026214490763014853,0.9164235879157707,0.8746353818736561,-0.8772005051506152
15,2008-04,"[0.1669741653061224, 0.0589766416666666, 0.0524665571428571, -0.1102579395833333, -0.0542016387755102, 0.1129831142857142, -0.090234078, 0.0480473359999999, -0.1801121333333333, -0.0755805019607843]","[0.1823736411573241, 0.1609975498515372, 0.0578199713259702, 0.0658560637404339, -0.1242880976844932, 0.1411278882370532, -0.1197281669171775, 0.018941133016873, -0.1303370661245816, 0.0341015219164392]","[0.0240867324311673, -0.0789383143063234, -0.0624350072120309, -0.2146773894999262, 0.0727219005474608, 0.0545039773543203, 0.0660841147781617, 0.0664787139235959, -0.0432221496595171, -0.0984263749916031]","[-0.050202939072871, -0.0346304331494449, -0.0507129250317053, 0.0597651764198719, -0.0185473967748772, -0.0981970400556824, -0.0771937390458531, -0.0286748418689444, -0.0045735084241748, 0.1027494394653769]",-0.02115552581830989,0.8504302240692866,0.6146096873869855,-0.14023084790692425,0.9441434451934153,0.9162151677901229,-1.6648943271608512
16,2008-05,"[0.0589766416666666, 0.0524665571428571, -0.1102579395833333, -0.0542016387755102, 0.1129831142857142, -0.090234078, 0.0480473359999999, -0.1801121333333333, -0.0755805019607843, -0.0601791568627451]","[0.1609975498515372, 0.0578199713259702, 0.0658560637404339, -0.1242880976844932, 0.1411278882370532, -0.1197281669171775, 0.018941133016873, -0.1303370661245816, 0.0341015219164392, -0.0672773847595339]","[-0.0789383143063234, -0.0624350072120309, -0.2146773894999262, 0.0727219005474608, 0.0545039773543203, 0.0660841147781617, 0.0664787139235959, -0.0432221496595171, -0.0984263749916031, -0.0060439420186346]","[-0.0346304331494449, -0.0507129250317053, 0.0597651764198719, -0.0185473967748772, -0.0981970400556824, -0.0771937390458531, -0.0286748418689444, -0.0045735084241748, 0.1027494394653769, -0.1033450980357417]",-0.02333871764072348,0.8157066220292215,0.5761247510509876,-0.17954015242445195,0.9230090301235344,0.8845135451853017,-1.7716502188825138
17,2008-06,"[0.0524665571428571, -0.1102579395833333, -0.0542016387755102, 0.1129831142857142, -0.090234078, 0.0480473359999999, -0.1801121333333333, -0.0755805019607843, -0.0601791568627451, -0.2178047307692307]","[0.0578199713259702, 0.0658560637404339, -0.1242880976844932, 0.1411278882370532, -0.1197281669171775, 0.018941133016873, -0.1303370661245816, 0.0341015219164392, -0.0672773847595339, -0.1927457283788817]","[-0.0624350072120309, -0.2146773894999262, 0.0727219005474608, 0.0545039773543203, 0.0660841147781617, 0.0664787139235959, -0.0432221496595171, -0.0984263749916031, -0.0060439420186346, -0.0579213799350082]","[-0.0507129250317053, 0.0597651764198719, -0.0185473967748772, -0.0981970400556824, -0.0771937390458531, -0.0286748418689444, -0.0045735084241748, 0.1027494394653769, -0.1033450980357417, -0.0349223806925531]",-0.022263058938684698,0.8493666363561072,0.5808784337836745,-0.1817721716293652,0.9398131800402721,0.9097197700604083,-1.6801833747083414
18,2008-07,"[-0.1102579395833333, -0.0542016387755102, 0.1129831142857142, -0.090234078, 0.0480473359999999, -0.1801121333333333, -0.0755805019607843, -0.0601791568627451, -0.2178047307692307, 0.0295825895877009]","[0.0658560637404339, -0.1242880976844932, 0.1411278882370532, -0.1197281669171775, 0.018941133016873, -0.1303370661245816, 0.0341015219164392, -0.0672773847595339, -0.1927457283788817, 0.0549243148694477]","[-0.2146773894999262, 0.0727219005474608, 0.0545039773543203, 0.0660841147781617, 0.0664787139235959, -0.0432221496595171, -0.0984263749916031, -0.0060439420186346, -0.0579213799350082, 0.0693183870341682]","[0.0597651764198719, -0.0185473967748772, -0.0981970400556824, -0.0771937390458531, -0.0286748418689444, -0.0045735084241748, 0.1027494394653769, -0.1033450980357417, -0.0349223806925531, -0.0192678222664743]",-0.03177609126398922,0.7671183373822292,0.6108703298459489,-0.09334816684548713,0.9681355656354759,0.9522033484532137,-3.8439993469639058
