,month,cash,mkt,smb,vmg,alpha,beta_mkt,beta_smb,beta_vmg,r_squared,r_squared_adj,t_alpha
9,2007-10,"[0.2238008046511627, 0.099701313940256, 0.0944528425531915, 0.228808575, 0.0625519290821256, -0.0700156458333333, 0.1698537224489796, 0.0664588291666666, 0.0018054244897959, -0.0438690770833333]","[0.2219137720547522, 0.043868305325419, 0.1302286637081754, 0.2405890256783758, 0.1139594337184726, -0.0353115598173471, 0.1823736411573241, 0.1609975498515372, 0.0578199713259702, 0.0658560637404339]","[0.0493905615688555, 0.1281286913970553, 0.0446424739128909, 0.011893436347169, -0.0615319063412964, -0.0965569802118341, 0.0240867324311673, -0.0789383143063234, -0.0624350072120309, -0.2146773894999262]","[-0.1808211055251784, -0.0665689945280232, -0.0545882729225307, -0.1685490860446487, -0.0963264267588038, 0.007301450020825, -0.050202939072871, -0.0346304331494449, -0.0507129250317053, 0.0597651764198719]",-0.010967263656291543,0.7846243667702814,0.41500301263843303,-0.19171631985026455,0.9734921513523147,0.9602382270284721,-0.8481251678336807
10,2007-11,"[0.099701313940256, 0.0944528425531915, 0.228808575, 0.0625519290821256, -0.0700156458333333, 0.1698537224489796, 0.0664588291666666, 0.0018054244897959, -0.0438690770833333, -0.0689577653061224]","[0.043868305325419, 0.1302286637081754, 0.2405890256783758, 0.1139594337184726, -0.0353115598173471, 0.1823736411573241, 0.1609975498515372, 0.0578199713259702, 0.0658560637404339, -0.1242880976844932]","[0.1281286913970553, 0.0446424739128909, 0.011893436347169, -0.0615319063412964, -0.0965569802118341, 0.0240867324311673, -0.0789383143063234, -0.0624350072120309, -0.2146773894999262, 0.0727219005474608]","[-0.0665689945280232, -0.0545882729225307, -0.1685490860446487, -0.0963264267588038, 0.007301450020825, -0.050202939072871, -0.0346304331494449, -0.0507129250317053, 0.0597651764198719, -0.0185473967748772]",-0.008706605877442056,0.7737588413545692,0.42373514052045225,-0.16807761842791924,0.9724494714372433,0.9586742071558649,-0.8868812276763418
11,2007-12,"[0.0944528425531915, 0.228808575, 0.0625519290821256, -0.0700156458333333, 0.1698537224489796, 0.0664588291666666, 0.0018054244897959, -0.0438690770833333, -0.0689577653061224, 0.1936082183673469]","[0.1302286637081754, 0.2405890256783758, 0.1139594337184726, -0.0353115598173471, 0.1823736411573241, 0.1609975498515372, 0.0578199713259702, 0.0658560637404339, -0.1242880976844932, 0.1411278882370532]","[0.0446424739128909, 0.011893436347169, -0.0615319063412964, -0.0965569802118341, 0.0240867324311673, -0.0789383143063234, -0.0624350072120309, -0.2146773894999262, 0.0727219005474608, 0.0545039773543203]","[-0.0545882729225307, -0.1685490860446487, -0.0963264267588038, 0.007301450020825, -0.050202939072871, -0.0346304331494449, -0.0507129250317053, 0.0597651764198719, -0.0185473967748772, -0.0981970400556824]",-0.005979314069460836,0.7941993598947577,0.4587275553188806,-0.18571146691746515,0.9545751383822377,0.9318627075733565,-0.39074553580347604
12,2008-01,"[0.228808575, 0.0625519290821256, -0.0700156458333333, 0.1698537224489796, 0.0664588291666666, 0.0018054244897959, -0.0438690770833333, -0.0689577653061224, 0.1936082183673469, -0.064078758]","[0.2405890256783758, 0.1139594337184726, -0.0353115598173471, 0.1823736411573241, 0.1609975498515372, 0.0578199713259702, 0.0658560637404339, -0.1242880976844932, 0.1411278882370532, -0.1197281669171775]","[0.011893436347169, -0.0615319063412964, -0.0965569802118341, 0.0240867324311673, -0.0789383143063234, -0.0624350072120309, -0.2146773894999262, 0.0727219005474608, 0.0545039773543203, 0.0660841147781617]","[-0.1685490860446487, -0.0963264267588038, 0.007301450020825, -0.050202939072871, -0.0346304331494449, -0.0507129250317053, 0.0597651764198719, -0.0185473967748772, -0.0981970400556824, -0.0771937390458531]",0.003748408247903824,0.8711598881959531,0.572905975427604,-0.012377074804357402,0.9729879153616372,0.9594818730424558,0.2775192042988536
13,2008-02,"[0.0625519290821256, -0.0700156458333333, 0.1698537224489796, 0.0664588291666666, 0.0018054244897959, -0.0438690770833333, -0.0689577653061224, 0.1936082183673469, -0.064078758, 0.037406322]","[0.1139594337184726, -0.0353115598173471, 0.1823736411573241, 0.1609975498515372, 0.0578199713259702, 0.0658560637404339, -0.1242880976844932, 0.1411278882370532, -0.1197281669171775, 0.018941133016873]","[-0.0615319063412964, -0.0965569802118341, 0.0240867324311673, -0.0789383143063234, -0.0624350072120309, -0.2146773894999262, 0.0727219005474608, 0.0545039773543203, 0.0660841147781617, 0.0664787139235959]","[-0.0963264267588038, 0.007301450020825, -0.050202939072871, -0.0346304331494449, -0.0507129250317053, 0.0597651764198719, -0.0185473967748772, -0.0981970400556824, -0.0771937390458531, -0.0286748418689444]",-0.0002578028043862361,0.8518302018452044,0.5310750848729576,-0.04206817463599449,0.9582658701829616,0.9373988052744424,-0.02023971885111895
14,2008-03,"[-0.0700156458333333, 0.1698537224489796, 0.0664588291666666, 0.0018054244897959, -0.0438690770833333, -0.0689577653061224, 0.1936082183673469, -0.064078758, 0.037406322, -0.1399709196078431]","[-0.0353115598173471, 0.1823736411573241, 0.1609975498515372, 0.0578199713259702, 0.0658560637404339, -0.1242880976844932, 0.1411278882370532, -0.1197281669171775, 0.018941133016873, -0.1303370661245816]","[-0.0965569802118341, 0.0240867324311673, -0.0789383143063234, -0.0624350072120309, -0.2146773894999262, 0.0727219005474608, 0.0545039773543203, 0.0660841147781617, 0.0664787139235959, -0.0432221496595171]","[0.007301450020825, -0.050202939072871, -0.0346304331494449, -0.0507129250317053, 0.0597651764198719, -0.0185473967748772, -0.0981970400556824, -0.0771937390458531, -0.0286748418689444, -0.0045735084241748]",-0.0028463111507221178,0.8537907328278509,0.5064005172703234,-0.10951311970211708,0.9676496570322946,0.9514744855484418,-0.2064782260671076
15,2008-04,"[0.1698537224489796, 0.0664588291666666, 0.0018054244897959, -0.0438690770833333, -0.0689577653061224, 0.1936082183673469, -0.064078758, 0.037406322, -0.1399709196078431, 0.0260762490196078]","[0.1823736411573241, 0.1609975498515372, 0.0578199713259702, 0.0658560637404339, -0.1242880976844932, 0.1411278882370532, -0.1197281669171775, 0.018941133016873, -0.1303370661245816, 0.0341015219164392]","[0.0240867324311673, -0.0789383143063234, -0.0624350072120309, -0.2146773894999262, 0.0727219005474608, 0.0545039773543203, 0.0660841147781617, 0.0664787139235959, -0.0432221496595171, -0.0984263749916031]","[-0.050202939072871, -0.0346304331494449, -0.0507129250317053, 0.0597651764198719, -0.0185473967748772, -0.0981970400556824, -0.0771937390458531, -0.0286748418689444, -0.0045735084241748, 0.1027494394653769]",0.010963989897250124,0.9116632587198447,0.648155196206363,0.2709065180153085,0.9548054744390029,0.9322082116585043,1.0062261944902156
16,2008-05,"[0.0664588291666666, 0.0018054244897959, -0.0438690770833333, -0.0689577653061224, 0.1936082183673469, -0.064078758, 0.037406322, -0.1399709196078431, 0.0260762490196078, -0.0325718803921568]","[0.1609975498515372, 0.0578199713259702, 0.0658560637404339, -0.1242880976844932, 0.1411278882370532, -0.1197281669171775, 0.018941133016873, -0.1303370661245816, 0.0341015219164392, -0.0672773847595339]","[-0.0789383143063234, -0.0624350072120309, -0.2146773894999262, 0.0727219005474608, 0.0545039773543203, 0.0660841147781617, 0.0664787139235959, -0.0432221496595171, -0.0984263749916031, -0.0060439420186346]","[-0.0346304331494449, -0.0507129250317053, 0.0597651764198719, -0.0185473967748772, -0.0981970400556824, -0.0771937390458531, -0.0286748418689444, -0.0045735084241748, 0.1027494394653769, -0.1033450980357417]",0.010713907439489252,0.8761543659880803,0.5704012546582469,0.09743113976634071,0.9219498528215629,0.8829247792323445,0.8187567532844339
17,2008-06,"[0.0018054244897959, -0.0438690770833333, -0.0689577653061224, 0.1936082183673469, -0.064078758, 0.037406322, -0.1399709196078431, 0.0260762490196078, -0.0325718803921568, -0.1704352538461538]","[0.0578199713259702, 0.0658560637404339, -0.1242880976844932, 0.1411278882370532, -0.1197281669171775, 0.018941133016873, -0.1303370661245816, 0.0341015219164392, -0.0672773847595339, -0.1927457283788817]","[-0.0624350072120309, -0.2146773894999262, 0.0727219005474608, 0.0545039773543203, 0.0660841147781617, 0.0664787139235959, -0.0432221496595171, -0.0984263749916031, -0.0060439420186346, -0.0579213799350082]","[-0.0507129250317053, 0.0597651764198719, -0.0185473967748772, -0.0981970400556824, -0.0771937390458531, -0.0286748418689444, -0.0045735084241748, 0.1027494394653769, -0.1033450980357417, -0.0349223806925531]",0.013648101058938964,0.8994838231478837,0.4959548012027996,0.008626042225544361,0.9529737952553521,0.9294606928830281,1.1899160254508971
18,2008-07,"[-0.0438690770833333, -0.0689577653061224, 0.1936082183673469, -0.064078758, 0.037406322, -0.1399709196078431, 0.0260762490196078, -0.0325718803921568, -0.1704352538461538, 0.0603421185534591]","[0.0658560637404339, -0.1242880976844932, 0.1411278882370532, -0.1197281669171775, 0.018941133016873, -0.1303370661245816, 0.0341015219164392, -0.0672773847595339, -0.1927457283788817, 0.0549243148694477]","[-0.2146773894999262, 0.0727219005474608, 0.0545039773543203, 0.0660841147781617, 0.0664787139235959, -0.0432221496595171, -0.0984263749916031, -0.0060439420186346, -0.0579213799350082, 0.0693183870341682]","[0.0597651764198719, -0.0185473967748772, -0.0981970400556824, -0.0771937390458531, -0.0286748418689444, -0.0045735084241748, 0.1027494394653769, -0.1033450980357417, -0.0349223806925531, -0.0192678222664743]",0.00891927643032747,0.9029878330404515,0.3731557200778886,-0.13869817082400382,0.9600990708043339,0.9401486062065008,0.9300886392858313
19,2008-08,"[-0.0689577653061224, 0.1936082183673469, -0.064078758, 0.037406322, -0.1399709196078431, 0.0260762490196078, -0.0325718803921568, -0.1704352538461538, 0.0603421185534591, -0.1571234592592592]","[-0.1242880976844932, 0.1411278882370532, -0.1197281669171775, 0.018941133016873, -0.1303370661245816, 0.0341015219164392, -0.0672773847595339, -0.1927457283788817, 0.0549243148694477, -0.1570389187434369]","[0.0727219005474608, 0.0545039773543203, 0.0660841147781617, 0.0664787139235959, -0.0432221496595171, -0.0984263749916031, -0.0060439420186346, -0.0579213799350082, 0.0693183870341682, -0.1135653509065898]","[-0.0185473967748772, -0.0981970400556824, -0.0771937390458531, -0.0286748418689444, -0.0045735084241748, 0.1027494394653769, -0.1033450980357417, -0.0349223806925531, -0.0192678222664743, 0.0213226523415907]",0.015319394875516805,0.9634576591567691,0.156799744123306,-0.19968205597502867,0.9814984600817679,0.9722476901226518,2.0766319028664046
20,2008-09,"[0.1936082183673469, -0.064078758, 0.037406322, -0.1399709196078431, 0.0260762490196078, -0.0325718803921568, -0.1704352538461538, 0.0603421185534591, -0.1571234592592592, -0.0368631994949494]","[0.1411278882370532, -0.1197281669171775, 0.018941133016873, -0.1303370661245816, 0.0341015219164392, -0.0672773847595339, -0.1927457283788817, 0.0549243148694477, -0.1570389187434369, -0.034127828880859]","[0.0545039773543203, 0.0660841147781617, 0.0664787139235959, -0.0432221496595171, -0.0984263749916031, -0.0060439420186346, -0.0579213799350082, 0.0693183870341682, -0.1135653509065898, -0.0536359008238359]","[-0.0981970400556824, -0.0771937390458531, -0.0286748418689444, -0.0045735084241748, 0.1027494394653769, -0.1033450980357417, -0.0349223806925531, -0.0192678222664743, 0.0213226523415907, -0.0851693727538025]",0.012038910438952983,0.9805200489142917,0.14613273648779218,-0.17223220996368033,0.9806484617521484,0.9709726926282225,1.5339467719127977
21,2008-10,"[-0.064078758, 0.037406322, -0.1399709196078431, 0.0260762490196078, -0.0325718803921568, -0.1704352538461538, 0.0603421185534591, -0.1571234592592592, -0.0368631994949494, -0.2009056592592592]","[-0.1197281669171775, 0.018941133016873, -0.1303370661245816, 0.0341015219164392, -0.0672773847595339, -0.1927457283788817, 0.0549243148694477, -0.1570389187434369, -0.034127828880859, -0.2189205213477631]","[0.0660841147781617, 0.0664787139235959, -0.0432221496595171, -0.0984263749916031, -0.0060439420186346, -0.0579213799350082, 0.0693183870341682, -0.1135653509065898, -0.0536359008238359, -0.0344952075498972]","[-0.0771937390458531, -0.0286748418689444, -0.0045735084241748, 0.1027494394653769, -0.1033450980357417, -0.0349223806925531, -0.0192678222664743, 0.0213226523415907, -0.0851693727538025, -0.0521913793763831]",0.007857470080688295,0.9099327760141811,0.19080893415630648,-0.07663147385844621,0.9809933338533902,0.9714900007800853,1.131718271680403
22,2008-11,"[0.037406322, -0.1399709196078431, 0.0260762490196078, -0.0325718803921568, -0.1704352538461538, 0.0603421185534591, -0.1571234592592592, -0.0368631994949494, -0.2009056592592592, 0.0916112290909091]","[0.018941133016873, -0.1303370661245816, 0.0341015219164392, -0.0672773847595339, -0.1927457283788817, 0.0549243148694477, -0.1570389187434369, -0.034127828880859, -0.2189205213477631, 0.137933002973239]","[0.0664787139235959, -0.0432221496595171, -0.0984263749916031, -0.0060439420186346, -0.0579213799350082, 0.0693183870341682, -0.1135653509065898, -0.0536359008238359, -0.0344952075498972, 0.0715603436721536]","[-0.0286748418689444, -0.0045735084241748, 0.1027494394653769, -0.1033450980357417, -0.0349223806925531, -0.0192678222664743, 0.0213226523415907, -0.0851693727538025, -0.0521913793763831, -0.0909216348790088]",-0.0018802999724409492,0.8448404409834794,0.134207479202334,0.028109560851814097,0.9727942566359077,0.9591913849538616,-0.21179681579369636
23,2008-12,"[-0.1399709196078431, 0.0260762490196078, -0.0325718803921568, -0.1704352538461538, 0.0603421185534591, -0.1571234592592592, -0.0368631994949494, -0.2009056592592592, 0.0916112290909091, 0.1454425072727272]","[-0.1303370661245816, 0.0341015219164392, -0.0672773847595339, -0.1927457283788817, 0.0549243148694477, -0.1570389187434369, -0.034127828880859, -0.2189205213477631, 0.137933002973239, 0.0023967797315104]","[-0.0432221496595171, -0.0984263749916031, -0.0060439420186346, -0.0579213799350082, 0.0693183870341682, -0.1135653509065898, -0.0536359008238359, -0.0344952075498972, 0.0715603436721536, 0.0863211187231681]","[-0.0045735084241748, 0.1027494394653769, -0.1033450980357417, -0.0349223806925531, -0.0192678222664743, 0.0213226523415907, -0.0851693727538025, -0.0521913793763831, -0.0909216348790088, -0.0223130603746692]",0.020808363216868773,0.7127971074377026,0.6604275506752352,0.33419487005094545,0.9011262882219861,0.8516894323329792,1.1105709403329036
24,2009-01,"[0.0260762490196078, -0.0325718803921568, -0.1704352538461538, 0.0603421185534591, -0.1571234592592592, -0.0368631994949494, -0.2009056592592592, 0.0916112290909091, 0.1454425072727272, 0.0785439714285714]","[0.0341015219164392, -0.0672773847595339, -0.1927457283788817, 0.0549243148694477, -0.1570389187434369, -0.034127828880859, -0.2189205213477631, 0.137933002973239, 0.0023967797315104, 0.1124848702996081]","[-0.0984263749916031, -0.0060439420186346, -0.0579213799350082, 0.0693183870341682, -0.1135653509065898, -0.0536359008238359, -0.0344952075498972, 0.0715603436721536, 0.0863211187231681, 0.0848321881565462]","[0.1027494394653769, -0.1033450980357417, -0.0349223806925531, -0.0192678222664743, 0.0213226523415907, -0.0851693727538025, -0.0521913793763831, -0.0909216348790088, -0.0223130603746692, 0.0309818423202391]",0.009511014721744707,0.6742175998716237,0.49210694915998904,0.17406180647238045,0.8762200578837996,0.8143300868256995,0.5190507086698036
25,2009-02,"[-0.0325718803921568, -0.1704352538461538, 0.0603421185534591, -0.1571234592592592, -0.0368631994949494, -0.2009056592592592, 0.0916112290909091, 0.1454425072727272, 0.0785439714285714, 0.0309333385964912]","[-0.0672773847595339, -0.1927457283788817, 0.0549243148694477, -0.1570389187434369, -0.034127828880859, -0.2189205213477631, 0.137933002973239, 0.0023967797315104, 0.1124848702996081, 0.0896536818700589]","[-0.0060439420186346, -0.0579213799350082, 0.0693183870341682, -0.1135653509065898, -0.0536359008238359, -0.0344952075498972, 0.0715603436721536, 0.0863211187231681, 0.0848321881565462, 0.0121564397212149]","[-0.1033450980357417, -0.0349223806925531, -0.0192678222664743, 0.0213226523415907, -0.0851693727538025, -0.0521913793763831, -0.0909216348790088, -0.0223130603746692, 0.0309818423202391, -0.0755758437769135]",-0.010164305422957758,0.5052331229453028,0.7932527955661325,-0.0045811860030349205,0.8909309832847659,0.8363964749271489,-0.4225848772429456
26,2009-03,"[-0.1704352538461538, 0.0603421185534591, -0.1571234592592592, -0.0368631994949494, -0.2009056592592592, 0.0916112290909091, 0.1454425072727272, 0.0785439714285714, 0.0309333385964912, 0.1542633578947368]","[-0.1927457283788817, 0.0549243148694477, -0.1570389187434369, -0.034127828880859, -0.2189205213477631, 0.137933002973239, 0.0023967797315104, 0.1124848702996081, 0.0896536818700589, 0.1533467993086351]","[-0.0579213799350082, 0.0693183870341682, -0.1135653509065898, -0.0536359008238359, -0.0344952075498972, 0.0715603436721536, 0.0863211187231681, 0.0848321881565462, 0.0121564397212149, 0.0365213711852111]","[-0.0349223806925531, -0.0192678222664743, 0.0213226523415907, -0.0851693727538025, -0.0521913793763831, -0.0909216348790088, -0.0223130603746692, 0.0309818423202391, -0.0755758437769135, -0.0811740987336451]",-0.004290131284487757,0.608353705351484,0.6755099215199399,-0.005163125946838876,0.8960747827573845,0.8441121741360768,-0.1673896778441717
27,2009-04,"[0.0603421185534591, -0.1571234592592592, -0.0368631994949494, -0.2009056592592592, 0.0916112290909091, 0.1454425072727272, 0.0785439714285714, 0.0309333385964912, 0.1542633578947368, 0.0656075714285714]","[0.0549243148694477, -0.1570389187434369, -0.034127828880859, -0.2189205213477631, 0.137933002973239, 0.0023967797315104, 0.1124848702996081, 0.0896536818700589, 0.1533467993086351, 0.0491755484819486]","[0.0693183870341682, -0.1135653509065898, -0.0536359008238359, -0.0344952075498972, 0.0715603436721536, 0.0863211187231681, 0.0848321881565462, 0.0121564397212149, 0.0365213711852111, 0.0335942265270312]","[-0.0192678222664743, 0.0213226523415907, -0.0851693727538025, -0.0521913793763831, -0.0909216348790088, -0.0223130603746692, 0.0309818423202391, -0.0755758437769135, -0.0811740987336451, 0.0487299525072381]",0.0005068204729888719,0.604247103222616,0.6672269254925264,0.050470953931985835,0.8715515048453643,0.8073272572680463,0.023941175994249567
28,2009-05,"[-0.1571234592592592, -0.0368631994949494, -0.2009056592592592, 0.0916112290909091, 0.1454425072727272, 0.0785439714285714, 0.0309333385964912, 0.1542633578947368, 0.0656075714285714, 0.0267906993831168]","[-0.1570389187434369, -0.034127828880859, -0.2189205213477631, 0.137933002973239, 0.0023967797315104, 0.1124848702996081, 0.0896536818700589, 0.1533467993086351, 0.0491755484819486, 0.0577050522166995]","[-0.1135653509065898, -0.0536359008238359, -0.0344952075498972, 0.0715603436721536, 0.0863211187231681, 0.0848321881565462, 0.0121564397212149, 0.0365213711852111, 0.0335942265270312, 0.0033466052420127]","[0.0213226523415907, -0.0851693727538025, -0.0521913793763831, -0.0909216348790088, -0.0223130603746692, 0.0309818423202391, -0.0755758437769135, -0.0811740987336451, 0.0487299525072381, -0.0233601191357245]",0.0009976470334106015,0.5837451287833272,0.726314061154446,0.04879941157270168,0.8725952048400842,0.8088928072601264,0.049267523270066185
