,month,cashdebt,mkt,smb,vmg,alpha,beta_mkt,beta_smb,beta_vmg,r_squared,r_squared_adj,t_alpha
9,2007-10,"[0.1652495674418604, 0.073965247368421, 0.0961897999999999, 0.2975791249999999, 0.0508233307729468, -0.0417322208333333, 0.1522130224489796, 0.0538736208333333, 0.0246408918367346, -0.02239568125]","[0.2219137720547522, 0.043868305325419, 0.1302286637081754, 0.2405890256783758, 0.1139594337184726, -0.0353115598173471, 0.1823736411573241, 0.1609975498515372, 0.0578199713259702, 0.0658560637404339]","[0.0493905615688555, 0.1281286913970553, 0.0446424739128909, 0.011893436347169, -0.0615319063412964, -0.0965569802118341, 0.0240867324311673, -0.0789383143063234, -0.0624350072120309, -0.2146773894999262]","[-0.1808211055251784, -0.0665689945280232, -0.0545882729225307, -0.1685490860446487, -0.0963264267588038, 0.007301450020825, -0.050202939072871, -0.0346304331494449, -0.0507129250317053, 0.0597651764198719]",-0.014201961749584012,0.7202636583900759,0.22890239128912643,-0.31394655478462036,0.855346434122517,0.7830196511837755,-0.4857603159905227
10,2007-11,"[0.073965247368421, 0.0961897999999999, 0.2975791249999999, 0.0508233307729468, -0.0417322208333333, 0.1522130224489796, 0.0538736208333333, 0.0246408918367346, -0.02239568125, -0.0846973591836734]","[0.043868305325419, 0.1302286637081754, 0.2405890256783758, 0.1139594337184726, -0.0353115598173471, 0.1823736411573241, 0.1609975498515372, 0.0578199713259702, 0.0658560637404339, -0.1242880976844932]","[0.1281286913970553, 0.0446424739128909, 0.011893436347169, -0.0615319063412964, -0.0965569802118341, 0.0240867324311673, -0.0789383143063234, -0.0624350072120309, -0.2146773894999262, 0.0727219005474608]","[-0.0665689945280232, -0.0545882729225307, -0.1685490860446487, -0.0963264267588038, 0.007301450020825, -0.050202939072871, -0.0346304331494449, -0.0507129250317053, 0.0597651764198719, -0.0185473967748772]",-0.021525138606626953,0.7090391978154562,0.18502311786839848,-0.5621637775250315,0.9146440170533766,0.871966025580065,-1.153054250856525
11,2007-12,"[0.0961897999999999, 0.2975791249999999, 0.0508233307729468, -0.0417322208333333, 0.1522130224489796, 0.0538736208333333, 0.0246408918367346, -0.02239568125, -0.0846973591836734, 0.1741180571428571]","[0.1302286637081754, 0.2405890256783758, 0.1139594337184726, -0.0353115598173471, 0.1823736411573241, 0.1609975498515372, 0.0578199713259702, 0.0658560637404339, -0.1242880976844932, 0.1411278882370532]","[0.0446424739128909, 0.011893436347169, -0.0615319063412964, -0.0965569802118341, 0.0240867324311673, -0.0789383143063234, -0.0624350072120309, -0.2146773894999262, 0.0727219005474608, 0.0545039773543203]","[-0.0545882729225307, -0.1685490860446487, -0.0963264267588038, 0.007301450020825, -0.050202939072871, -0.0346304331494449, -0.0507129250317053, 0.0597651764198719, -0.0185473967748772, -0.0981970400556824]",-0.019420387759757414,0.7210362529626558,0.21081931151565703,-0.5674942775221203,0.9168069631361131,0.8752104447041696,-0.895087250375391
12,2008-01,"[0.2975791249999999, 0.0508233307729468, -0.0417322208333333, 0.1522130224489796, 0.0538736208333333, 0.0246408918367346, -0.02239568125, -0.0846973591836734, 0.1741180571428571, -0.042759728]","[0.2405890256783758, 0.1139594337184726, -0.0353115598173471, 0.1823736411573241, 0.1609975498515372, 0.0578199713259702, 0.0658560637404339, -0.1242880976844932, 0.1411278882370532, -0.1197281669171775]","[0.011893436347169, -0.0615319063412964, -0.0965569802118341, 0.0240867324311673, -0.0789383143063234, -0.0624350072120309, -0.2146773894999262, 0.0727219005474608, 0.0545039773543203, 0.0660841147781617]","[-0.1685490860446487, -0.0963264267588038, 0.007301450020825, -0.050202939072871, -0.0346304331494449, -0.0507129250317053, 0.0597651764198719, -0.0185473967748772, -0.0981970400556824, -0.0771937390458531]",-0.013249190856028614,0.7449694595273715,0.2709989646884787,-0.49733208828374825,0.927170720566844,0.890756080850266,-0.5788935065653578
13,2008-02,"[0.0508233307729468, -0.0417322208333333, 0.1522130224489796, 0.0538736208333333, 0.0246408918367346, -0.02239568125, -0.0846973591836734, 0.1741180571428571, -0.042759728, 0.0447103039999999]","[0.1139594337184726, -0.0353115598173471, 0.1823736411573241, 0.1609975498515372, 0.0578199713259702, 0.0658560637404339, -0.1242880976844932, 0.1411278882370532, -0.1197281669171775, 0.018941133016873]","[-0.0615319063412964, -0.0965569802118341, 0.0240867324311673, -0.0789383143063234, -0.0624350072120309, -0.2146773894999262, 0.0727219005474608, 0.0545039773543203, 0.0660841147781617, 0.0664787139235959]","[-0.0963264267588038, 0.007301450020825, -0.050202939072871, -0.0346304331494449, -0.0507129250317053, 0.0597651764198719, -0.0185473967748772, -0.0981970400556824, -0.0771937390458531, -0.0286748418689444]",0.0032836925965008317,0.7314630578490792,0.39265409318027855,-0.07387342510625639,0.9242456308139023,0.8863684462208534,0.21998041138653754
14,2008-03,"[-0.0417322208333333, 0.1522130224489796, 0.0538736208333333, 0.0246408918367346, -0.02239568125, -0.0846973591836734, 0.1741180571428571, -0.042759728, 0.0447103039999999, -0.1600820980392157]","[-0.0353115598173471, 0.1823736411573241, 0.1609975498515372, 0.0578199713259702, 0.0658560637404339, -0.1242880976844932, 0.1411278882370532, -0.1197281669171775, 0.018941133016873, -0.1303370661245816]","[-0.0965569802118341, 0.0240867324311673, -0.0789383143063234, -0.0624350072120309, -0.2146773894999262, 0.0727219005474608, 0.0545039773543203, 0.0660841147781617, 0.0664787139235959, -0.0432221496595171]","[0.007301450020825, -0.050202939072871, -0.0346304331494449, -0.0507129250317053, 0.0597651764198719, -0.0185473967748772, -0.0981970400556824, -0.0771937390458531, -0.0286748418689444, -0.0045735084241748]",-0.008097569409364718,0.781258694104433,0.33902054282433886,-0.27340168477674387,0.9366197757141613,0.904929663571242,-0.44509930454642127
15,2008-04,"[0.1522130224489796, 0.0538736208333333, 0.0246408918367346, -0.02239568125, -0.0846973591836734, 0.1741180571428571, -0.042759728, 0.0447103039999999, -0.1600820980392157, 0.0872684196078431]","[0.1823736411573241, 0.1609975498515372, 0.0578199713259702, 0.0658560637404339, -0.1242880976844932, 0.1411278882370532, -0.1197281669171775, 0.018941133016873, -0.1303370661245816, 0.0341015219164392]","[0.0240867324311673, -0.0789383143063234, -0.0624350072120309, -0.2146773894999262, 0.0727219005474608, 0.0545039773543203, 0.0660841147781617, 0.0664787139235959, -0.0432221496595171, -0.0984263749916031]","[-0.050202939072871, -0.0346304331494449, -0.0507129250317053, 0.0597651764198719, -0.0185473967748772, -0.0981970400556824, -0.0771937390458531, -0.0286748418689444, -0.0045735084241748, 0.1027494394653769]",0.02132710272387131,0.9064756433846833,0.6449611192673511,0.5419545527028442,0.8881045774232685,0.8321568661349028,1.2658781766214682
16,2008-05,"[0.0538736208333333, 0.0246408918367346, -0.02239568125, -0.0846973591836734, 0.1741180571428571, -0.042759728, 0.0447103039999999, -0.1600820980392157, 0.0872684196078431, -0.0442836215686274]","[0.1609975498515372, 0.0578199713259702, 0.0658560637404339, -0.1242880976844932, 0.1411278882370532, -0.1197281669171775, 0.018941133016873, -0.1303370661245816, 0.0341015219164392, -0.0672773847595339]","[-0.0789383143063234, -0.0624350072120309, -0.2146773894999262, 0.0727219005474608, 0.0545039773543203, 0.0660841147781617, 0.0664787139235959, -0.0432221496595171, -0.0984263749916031, -0.0060439420186346]","[-0.0346304331494449, -0.0507129250317053, 0.0597651764198719, -0.0185473967748772, -0.0981970400556824, -0.0771937390458531, -0.0286748418689444, -0.0045735084241748, 0.1027494394653769, -0.1033450980357417]",0.023149367558587985,0.8957931157534141,0.5848169432731116,0.3622021953135629,0.8509542695793981,0.7764314043690972,1.2391357141986339
17,2008-06,"[0.0246408918367346, -0.02239568125, -0.0846973591836734, 0.1741180571428571, -0.042759728, 0.0447103039999999, -0.1600820980392157, 0.0872684196078431, -0.0442836215686274, -0.1587062326923076]","[0.0578199713259702, 0.0658560637404339, -0.1242880976844932, 0.1411278882370532, -0.1197281669171775, 0.018941133016873, -0.1303370661245816, 0.0341015219164392, -0.0672773847595339, -0.1927457283788817]","[-0.0624350072120309, -0.2146773894999262, 0.0727219005474608, 0.0545039773543203, 0.0660841147781617, 0.0664787139235959, -0.0432221496595171, -0.0984263749916031, -0.0060439420186346, -0.0579213799350082]","[-0.0507129250317053, 0.0597651764198719, -0.0185473967748772, -0.0981970400556824, -0.0771937390458531, -0.0286748418689444, -0.0045735084241748, 0.1027494394653769, -0.1033450980357417, -0.0349223806925531]",0.02747794878762902,0.9279950058266547,0.47216602147491316,0.2285209657799852,0.9118478594544636,0.8677717891816954,1.693867001387966
18,2008-07,"[-0.02239568125, -0.0846973591836734, 0.1741180571428571, -0.042759728, 0.0447103039999999, -0.1600820980392157, 0.0872684196078431, -0.0442836215686274, -0.1587062326923076, 0.0725954794549266]","[0.0658560637404339, -0.1242880976844932, 0.1411278882370532, -0.1197281669171775, 0.018941133016873, -0.1303370661245816, 0.0341015219164392, -0.0672773847595339, -0.1927457283788817, 0.0549243148694477]","[-0.2146773894999262, 0.0727219005474608, 0.0545039773543203, 0.0660841147781617, 0.0664787139235959, -0.0432221496595171, -0.0984263749916031, -0.0060439420186346, -0.0579213799350082, 0.0693183870341682]","[0.0597651764198719, -0.0185473967748772, -0.0981970400556824, -0.0771937390458531, -0.0286748418689444, -0.0045735084241748, 0.1027494394653769, -0.1033450980357417, -0.0349223806925531, -0.0192678222664743]",0.0223286290283531,0.9167375019894906,0.38520888364751815,0.13304902990379222,0.9120730260766404,0.8681095391149607,1.5226740285797833
